comparates,transformer,neuralforecast,mlforecast,statistical
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.1152
159 / 0 / 172
0.0374","-0.1153
175 / 0 / 156
0.0867","-0.2158
149 / 0 / 182
0.9904"
neuralforecast,"0.1152
172 / 0 / 159
0.0374",-,"-0.0001
171 / 0 / 160
0.5159","-0.1007
135 / 0 / 196
0.0999"
mlforecast,"0.1153
156 / 0 / 175
0.0867","0.0001
160 / 0 / 171
0.5159",-,"-0.1006
143 / 0 / 188
0.0514"
statistical,"0.2158
182 / 0 / 149
0.9904","0.1007
196 / 0 / 135
0.0999","0.1006
188 / 0 / 143
0.0514","If in bold, then
p-value < 0.05
Holm correction"
