comparates,statistical,transformer,neuralforecast,mlforecast
statistical,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0192
204 / 0 / 128
0.0001","-0.0520
227 / 0 / 105
 $\leq$ 1e-04","-0.0530
221 / 0 / 111
 $\leq$ 1e-04"
transformer,"0.0192
128 / 0 / 204
0.0001",-,"-0.0328
170 / 0 / 162
0.2140","-0.0338
175 / 0 / 157
0.0842"
neuralforecast,"0.0520
105 / 0 / 227
 $\leq$ 1e-04","0.0328
162 / 0 / 170
0.2140",-,"-0.0010
169 / 0 / 163
0.2931"
mlforecast,"0.0530
111 / 0 / 221
 $\leq$ 1e-04","0.0338
157 / 0 / 175
0.0842","0.0010
163 / 0 / 169
0.2931","If in bold, then
p-value < 0.05
Holm correction"
