matrix,scope,feature,week4_group,bucket,row_candidate,column_candidate,n_shared_series,share_row_better_rel_naive,mean_rel_naive_delta
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,neuralforecast | with_mstl,1986,0.5503524672708963,-0.11062084173206377
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,neuralforecast | without_mstl,1986,0.5604229607250756,-0.09568140402808124
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,statistical | with_mstl,1986,0.5166163141993958,-0.14915002914174452
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,statistical | without_mstl,1986,0.47180261832829806,-0.062214466533954293
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,transformer | with_mstl,1986,0.5,0.0
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,transformer | without_mstl,1986,0.5412890231621349,-0.054096173871389555
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,mlforecast | with_mstl,1986,0.47633434038267874,-0.03597008024987617
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,mlforecast | without_mstl,1986,0.5287009063444109,-0.15126312265202088
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,neuralforecast | with_mstl,1986,0.48992950654582074,-0.05652466786067422
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,neuralforecast | without_mstl,1986,0.5307150050352467,-0.04158523015669168
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,statistical | with_mstl,1986,0.46576032225579056,-0.09505385527035497
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,statistical | without_mstl,1986,0.41289023162134947,-0.008118292662564749
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,transformer | with_mstl,1986,0.45871097683786505,0.054096173871389555
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,transformer | without_mstl,1986,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,mlforecast | with_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,mlforecast | without_mstl,999,0.5235235235235235,-0.06211871938880599
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,neuralforecast | with_mstl,999,0.5125125125125125,-0.009928088555138777
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,neuralforecast | without_mstl,999,0.5365365365365365,-0.004719073851156246
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,statistical | with_mstl,999,0.44744744744744747,-0.025008062413724472
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,statistical | without_mstl,999,0.4094094094094094,0.06737926875729573
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,transformer | with_mstl,999,0.4744744744744745,0.03263008061294906
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,transformer | without_mstl,999,0.5035035035035035,0.025650149239007006
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,mlforecast | with_mstl,999,0.47647647647647645,0.06211871938880599
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,mlforecast | without_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,neuralforecast | with_mstl,999,0.4914914914914915,0.05219063083366721
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,neuralforecast | without_mstl,999,0.5215215215215215,0.057399645537649736
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,statistical | with_mstl,999,0.46346346346346345,0.03711065697508152
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,statistical | without_mstl,999,0.3763763763763764,0.12949798814610172
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,transformer | with_mstl,999,0.46646646646646645,0.09474880000175503
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,transformer | without_mstl,999,0.4984984984984985,0.08776886862781301
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,mlforecast | with_mstl,999,0.4874874874874875,0.009928088555138777
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,mlforecast | without_mstl,999,0.5085085085085085,-0.05219063083366721
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,neuralforecast | with_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,neuralforecast | without_mstl,999,0.5375375375375375,0.005209014703982531
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,statistical | with_mstl,999,0.4314314314314314,-0.01507997385858569
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,statistical | without_mstl,999,0.4044044044044044,0.07730735731243452
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,transformer | with_mstl,999,0.45845845845845845,0.04255816916808783
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,transformer | without_mstl,999,0.5005005005005005,0.03557823779414578
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,mlforecast | with_mstl,999,0.46346346346346345,0.004719073851156246
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,mlforecast | without_mstl,999,0.47847847847847846,-0.057399645537649736
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,neuralforecast | with_mstl,999,0.4624624624624625,-0.005209014703982531
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,neuralforecast | without_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,statistical | with_mstl,999,0.41041041041041043,-0.020288988562568225
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,statistical | without_mstl,999,0.3263263263263263,0.07209834260845198
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,transformer | with_mstl,999,0.45345345345345345,0.0373491544641053
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,transformer | without_mstl,999,0.45245245245245247,0.030369223090163253
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,mlforecast | with_mstl,999,0.5525525525525525,0.025008062413724472
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,mlforecast | without_mstl,999,0.5365365365365365,-0.03711065697508152
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,neuralforecast | with_mstl,999,0.5685685685685685,0.01507997385858569
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,neuralforecast | without_mstl,999,0.5895895895895896,0.020288988562568225
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,statistical | with_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,statistical | without_mstl,999,0.4294294294294294,0.09238733117102023
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,transformer | with_mstl,999,0.5135135135135135,0.05763814302667353
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,transformer | without_mstl,999,0.5245245245245245,0.05065821165273149
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,mlforecast | with_mstl,999,0.5905905905905906,-0.06737926875729573
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,mlforecast | without_mstl,999,0.6236236236236237,-0.12949798814610172
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,neuralforecast | with_mstl,999,0.5955955955955956,-0.07730735731243452
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,neuralforecast | without_mstl,999,0.6736736736736737,-0.07209834260845198
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,statistical | with_mstl,999,0.5705705705705706,-0.09238733117102023
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,statistical | without_mstl,999,0.5,0.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,transformer | with_mstl,999,0.5725725725725725,-0.03474918814434669
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,transformer | without_mstl,999,0.5995995995995996,-0.04172911951828873
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,mlforecast | with_mstl,999,0.5255255255255256,-0.03263008061294906
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,mlforecast | without_mstl,999,0.5335335335335335,-0.09474880000175503
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,neuralforecast | with_mstl,999,0.5415415415415415,-0.04255816916808783
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,neuralforecast | without_mstl,999,0.5465465465465466,-0.0373491544641053
