comparates,transformer,statistical,neuralforecast,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0080
422 / 0 / 577
 $\leq$ 1e-04","-0.0365
537 / 0 / 462
0.0013","-0.0602
534 / 0 / 465
 $\leq$ 1e-04"
statistical,"0.0080
577 / 0 / 422
 $\leq$ 1e-04",-,"-0.0285
644 / 0 / 355
 $\leq$ 1e-04","-0.0522
610 / 0 / 389
 $\leq$ 1e-04"
neuralforecast,"0.0365
462 / 0 / 537
0.0013","0.0285
355 / 0 / 644
 $\leq$ 1e-04",-,"-0.0237
483 / 0 / 516
0.5672"
mlforecast,"0.0602
465 / 0 / 534
 $\leq$ 1e-04","0.0522
389 / 0 / 610
 $\leq$ 1e-04","0.0237
516 / 0 / 483
0.5672","If in bold, then
p-value < 0.05
Holm correction"
