comparates,transformer,neuralforecast,mlforecast,statistical
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0965
178 / 0 / 155
0.0006","-0.1480
185 / 0 / 148
0.0037","-0.1602
163 / 0 / 170
0.1987"
neuralforecast,"0.0965
155 / 0 / 178
0.0006",-,"-0.0516
160 / 0 / 173
0.9236","-0.0637
140 / 0 / 193
0.2342"
mlforecast,"0.1480
148 / 0 / 185
0.0037","0.0516
173 / 0 / 160
0.9236",-,"-0.0122
153 / 0 / 180
0.1739"
statistical,"0.1602
170 / 0 / 163
0.1987","0.0637
193 / 0 / 140
0.2342","0.0122
180 / 0 / 153
0.1739","If in bold, then
p-value < 0.05
Holm correction"
