feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,transformer,with_mstl,334,19,0.05688622754491018,1.0196333242672404,0.9819377645052019,0.8924967337392031,0.8038004488480436,496.21114166180007,263.02944301863204,0.5796849087893864,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,statistical,without_mstl,334,100,0.2994011976047904,1.0352911642124776,0.9613542000177037,0.9446517262766233,0.7746681958430752,438.9621164638028,230.33207185285588,0.5056384742951907,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,transformer,without_mstl,334,30,0.08982035928143713,1.038192904728646,0.9969477333835672,0.9559427064507546,0.8610815266931553,504.9123789912431,262.52144029405383,0.5182421227197346,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,mlforecast,with_mstl,334,25,0.0748502994011976,1.0442721233040961,0.9782473916536363,0.9372164006602552,0.849139526000616,511.02973709017385,280.1364934942451,0.581301824212272,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,neuralforecast,without_mstl,334,44,0.1317365269461078,1.0534821664416527,0.9681839384824876,0.961545466148075,0.8401676432291666,518.579084676232,264.83116319444446,0.5348258706467661,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,neuralforecast,with_mstl,334,28,0.08383233532934131,1.062919214685467,0.980672287278149,0.9130680671978478,0.8417765279555569,510.255078971825,258.8218854498763,0.5850746268656717,0.6111111111111112
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,statistical,with_mstl,334,53,0.15868263473053892,1.1025028981840197,0.9088778908222536,0.9393002781181613,0.834408413499397,473.19538373717415,245.19617945236476,0.6095632946379215,0.6111111111111112
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,mlforecast,without_mstl,334,39,0.11676646706586827,1.2028001686210437,1.0048503234811905,1.0572831022308502,0.8848354650775143,527.6764017815321,282.4436498707319,0.5001243781094528,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,High,baseline,without_mstl,334,12,0.03592814371257485,1.347702673667036,1.2392638036809815,1.0,1.0,605.8531471589811,314.44383562933325,0.5814262023217247,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,statistical,without_mstl,334,94,0.281437125748503,0.8873104253211558,0.8717198972080848,0.9351930461380388,0.8294968267212941,758.6087482426913,504.65904551835223,0.4341871811931692,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,transformer,with_mstl,334,15,0.04491017964071856,0.9386406566029608,0.9121157951400534,0.9215452701745762,0.9034951347481532,812.0332187481687,523.5091531304927,0.5745176314038589,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,transformer,without_mstl,334,34,0.10179640718562874,0.940960899478231,0.9772933710757346,1.0261096768555564,0.9033276166899318,821.7350783117947,534.6826072460938,0.5178809048569528,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,mlforecast,without_mstl,334,49,0.1467065868263473,0.9567643899715217,0.9068953458598799,1.0049869354201455,0.8735642514053171,799.2215672538321,548.5852479569342,0.5215818363273453,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,mlforecast,with_mstl,334,20,0.059880239520958084,0.9671859468096561,0.9014486949076785,0.951286771055625,0.8988832132557181,819.5783404923833,535.7493517506701,0.5732285429141717,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,neuralforecast,without_mstl,334,58,0.17365269461077845,0.9705023036959283,0.9309599582840327,1.051852033445968,0.9011270171671032,849.9738678167095,561.0668199327257,0.5450210689731647,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,neuralforecast,with_mstl,334,27,0.08083832335329341,0.9727326835079566,0.8980711212274229,0.9445567995168352,0.9023539696201144,827.9384286156437,534.4841717208664,0.5778997560434687,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,statistical,with_mstl,334,46,0.1377245508982036,1.0068704002169269,0.8700171099011172,0.9727953165828386,0.903883750790009,821.7250519952722,538.1414494314415,0.5819472166777556,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Low,baseline,without_mstl,334,6,0.017964071856287425,1.1284515452955073,0.9866633661077806,1.0,1.0,879.800395420684,613.8888888888889,0.5620425815036594,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,statistical,without_mstl,332,87,0.2620481927710843,0.8981345078042986,0.8987002822334026,0.8906407651434614,0.8176944008438202,605.3962633783145,372.85849804129816,0.48782115448782115,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,transformer,with_mstl,332,15,0.045180722891566265,0.9641259765074759,0.9346344772455403,0.9085537225249141,0.8893168687434789,667.3938900470878,392.1746312377437,0.5703203203203204,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,transformer,without_mstl,332,29,0.08734939759036145,0.9649152287372258,0.9904387216995043,1.0037805079486608,0.8965908235714183,645.9466340859688,399.1798773871528,0.5134300967634301,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,statistical,with_mstl,332,59,0.17771084337349397,0.9859119756671133,0.8569240402476127,0.91401234360312,0.8648719758420236,647.4691809603878,372.98951801797153,0.587253920587254,0.6111111111111112
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,mlforecast,with_mstl,332,13,0.0391566265060241,1.0052641435377836,0.9233250401962305,0.9668967591923905,0.9050399473032094,689.7614662741668,385.67657660862847,0.5678595261928595,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,neuralforecast,without_mstl,332,58,0.1746987951807229,1.0086025459650616,0.9599463504815252,1.0800497034691448,0.870287296070772,703.8209072764841,404.89881727430554,0.5279168056945835,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,neuralforecast,with_mstl,332,32,0.0963855421686747,1.0103595127837528,0.9122028793607062,0.9281702567630616,0.8828344932610209,681.6367643058894,374.7360422581482,0.5743521299076855,0.6111111111111112
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,mlforecast,without_mstl,332,39,0.11746987951807229,1.042231549529625,0.9495296507497778,1.0557299353585459,0.8799788318925974,662.6277954742062,415.45158517084957,0.5079662996329662,0.5
arch_stat,ARCH volatility-clustering statistic,combined_monthly,Medium,baseline,without_mstl,332,13,0.0391566265060241,1.2305511612342461,1.0669456066945606,1.0,1.0,750.1412775092381,452.1149999999999,0.5717384050717383,0.5555555555555556
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,High,transformer,with_mstl,332,16,0.04819277108433735,0.9813072025789784,0.9356705444140128,0.8793381394116071,0.7833900655877937,609.7681883605769,279.4495854700101,0.6355377906976745,0.625
arch_stat,ARCH volatility-clustering statistic,combined_quarterly,High,transformer,without_mstl,332,41,0.12349397590361445,1.0918267857413115,0.981419589386052,1.1300294340733699,0.8044418442262558,631.7395207621536,302.9757106751031,0.5990188953488372,0.625
