comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.1359
174 / 0 / 157
0.0001","-0.1642
161 / 0 / 170
0.3335","-0.2147
179 / 0 / 152
0.0006"
neuralforecast,"0.1359
157 / 0 / 174
0.0001",-,"-0.0283
144 / 0 / 187
0.0691","-0.0787
159 / 0 / 172
0.8117"
statistical,"0.1642
170 / 0 / 161
0.3335","0.0283
187 / 0 / 144
0.0691",-,"-0.0505
189 / 0 / 142
0.0141"
mlforecast,"0.2147
152 / 0 / 179
0.0006","0.0787
172 / 0 / 159
0.8117","0.0505
142 / 0 / 189
0.0141","If in bold, then
p-value < 0.05
Holm correction"
