comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.1138
169 / 0 / 163
0.0100","-0.1209
147 / 0 / 185
0.4649","-0.1819
164 / 0 / 168
0.0372"
neuralforecast,"0.1138
163 / 0 / 169
0.0100",-,"-0.0071
128 / 0 / 204
0.0032","-0.0680
164 / 0 / 168
0.5979"
statistical,"0.1209
185 / 0 / 147
0.4649","0.0071
204 / 0 / 128
0.0032",-,"-0.0610
205 / 0 / 127
0.0007"
mlforecast,"0.1819
168 / 0 / 164
0.0372","0.0680
168 / 0 / 164
0.5979","0.0610
127 / 0 / 205
0.0007","If in bold, then
p-value < 0.05
Holm correction"
