comparates,transformer,statistical,neuralforecast,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0705
285 / 0 / 378
0.0619","-0.0910
350 / 0 / 313
0.0001","-0.1376
356 / 0 / 307
 $\leq$ 1e-04"
statistical,"0.0705
378 / 0 / 285
0.0619",-,"-0.0205
413 / 0 / 250
 $\leq$ 1e-04","-0.0671
401 / 0 / 262
 $\leq$ 1e-04"
neuralforecast,"0.0910
313 / 0 / 350
0.0001","0.0205
250 / 0 / 413
 $\leq$ 1e-04",-,"-0.0466
319 / 0 / 344
0.6328"
mlforecast,"0.1376
307 / 0 / 356
 $\leq$ 1e-04","0.0671
262 / 0 / 401
 $\leq$ 1e-04","0.0466
344 / 0 / 319
0.6328","If in bold, then
p-value < 0.05
Holm correction"
