family,variant,n_models,mean_model_mae,mean_model_mase,mean_model_pocid,mean_forecast_level,mean_actual_level,mean_error,mean_abs_error,avg_series_mae,avg_series_mase,avg_series_pocid,total_wins_mae,total_wins_mase,total_wins_pocid
baseline,without_mstl,1,930.5277777777778,1.0,0.5277777777777778,6208.444444444444,6815.194444444444,-606.75,930.5277777777778,930.5277777777777,1.0,0.5277777777777778,0,0,0
mlforecast,with_mstl,4,790.6071203849509,0.8496330139364827,0.5305555555555556,6586.668848190796,6815.194444444444,-228.52559625364836,790.6071203849508,790.6071203849508,1.1437666266608715,0.5305555555555556,1,1,1
mlforecast,without_mstl,4,869.0982346300846,0.9339841919664181,0.4930555555555556,6685.742662156556,6815.194444444444,-129.4517822878884,869.0982346300846,869.0982346300846,1.2613216419807098,0.4930555555555555,5,5,1
neuralforecast,with_mstl,3,762.8934663770411,0.819850287757052,0.524074074074074,6889.523442354593,6815.194444444444,74.32899791014854,762.8934663770411,762.8934663770411,0.9245411122422466,0.5240740740740741,0,0,0
neuralforecast,without_mstl,3,782.8058412905093,0.8412492995748629,0.5740740740740741,6844.411654097946,6815.194444444444,29.217209653501158,782.8058412905093,782.8058412905093,0.9712640677997667,0.5740740740740741,0,0,4
statistical,with_mstl,2,920.4273169180469,0.9891454493880323,0.5555555555555556,6753.392515355628,6815.194444444444,-61.801929088815854,920.427316918047,920.427316918047,1.1111234350396275,0.5555555555555556,1,1,0
statistical,without_mstl,2,820.6336042254925,0.881901243383914,0.46944444444444444,6923.681599785005,6815.194444444444,108.48715534056066,820.6336042254927,820.6336042254927,1.1024106961198432,0.46944444444444444,2,2,3
transformer,with_mstl,1,716.474248977788,0.7699654605570425,0.4888888888888889,6452.522991987278,6815.194444444444,-362.67145245716677,716.4742489777879,716.474248977788,0.8582210175122693,0.48888888888888893,0,0,1
transformer,without_mstl,1,865.1814649793837,0.929775000425619,0.4722222222222222,6761.313999430338,6815.194444444444,-53.8804450141059,865.1814649793837,865.1814649793838,1.0404316406746106,0.4722222222222222,1,1,0
