metric,family,variant,model,series_won,series_ids,mean_mae,mean_mase,mean_pocid,avg_mean_y,avg_cv_y,avg_slope_over_mean,avg_trend_strength,avg_seasonal_strength,avg_lag12_autocorr
mae,mlforecast,without_mstl,rf,4,"M1044,M1187,M1255,M22",473.2101127866651,0.505429367113756,0.5416666666666667,5326.592352941177,0.30564709067791296,0.001276283085822138,0.9058047378695633,0.3374564512122443,0.5702166349031738
mae,statistical,without_mstl,auto_sarima,2,"M718,M892",92.96692971822132,0.3718422106054826,0.7222222222222222,4131.238574165298,0.12980432898231503,0.0034127607266581554,0.9699336523196125,0.44148954189251477,0.9224174304078787
mae,mlforecast,with_mstl,xgb,1,M960,127.5118611816601,0.7337639070555888,0.3888888888888889,9354.560344827587,0.1547555069579788,0.00438392339346452,0.9951761949397414,0.11323894934028622,0.9336540131576809
mae,mlforecast,without_mstl,lr,1,M164,600.549129244976,0.6219726309786864,0.4444444444444444,5096.470588235294,0.25348509824211973,0.014313871723844034,0.882575835584212,0.5812279987209477,0.6855526782978926
mae,statistical,with_mstl,auto_arima,1,M141,452.728994323367,0.7328347030414213,0.6666666666666666,4360.78431372549,0.2059717302993826,0.007815439955727718,0.6868318140309926,0.5078472065269077,0.14098095655237428
mae,transformer,without_mstl,patchtst,1,M1203,1767.2403971354167,0.6749772353683056,0.7222222222222222,5811.702586206897,0.5671672371042622,0.004721778031956329,0.501207694785265,0.477146557636843,0.27501664733445463
mase,mlforecast,without_mstl,rf,4,"M1044,M1187,M1255,M22",473.2101127866651,0.505429367113756,0.5416666666666667,5326.592352941177,0.30564709067791296,0.001276283085822138,0.9058047378695633,0.3374564512122443,0.5702166349031738
mase,statistical,without_mstl,auto_sarima,2,"M718,M892",92.96692971822132,0.3718422106054826,0.7222222222222222,4131.238574165298,0.12980432898231503,0.0034127607266581554,0.9699336523196125,0.44148954189251477,0.9224174304078787
mase,mlforecast,with_mstl,xgb,1,M960,127.5118611816601,0.7337639070555888,0.3888888888888889,9354.560344827587,0.1547555069579788,0.00438392339346452,0.9951761949397414,0.11323894934028622,0.9336540131576809
mase,mlforecast,without_mstl,lr,1,M164,600.549129244976,0.6219726309786864,0.4444444444444444,5096.470588235294,0.25348509824211973,0.014313871723844034,0.882575835584212,0.5812279987209477,0.6855526782978926
mase,statistical,with_mstl,auto_arima,1,M141,452.728994323367,0.7328347030414213,0.6666666666666666,4360.78431372549,0.2059717302993826,0.007815439955727718,0.6868318140309926,0.5078472065269077,0.14098095655237428
mase,transformer,without_mstl,patchtst,1,M1203,1767.2403971354167,0.6749772353683056,0.7222222222222222,5811.702586206897,0.5671672371042622,0.004721778031956329,0.501207694785265,0.477146557636843,0.27501664733445463
pocid,neuralforecast,without_mstl,nbeats,2,"M141,M164",771.7898220486111,1.0328144265151251,0.7777777777777778,4728.627450980392,0.22972841427075116,0.011064655839785876,0.7847038248076024,0.5445376026239277,0.41326681742513344
pocid,statistical,without_mstl,auto_sarima,2,"M1203,M892",954.288235799526,0.5003810567743399,0.7777777777777778,5399.4073275862065,0.31627368596367195,0.003293244574331848,0.7393705805220914,0.32221109432336725,0.584173023383151
pocid,mlforecast,with_mstl,lgbm,1,M1044,234.2818306250076,1.1566299921146836,0.6111111111111112,4069.3793103448274,0.1428751030581935,-0.0024185511659887775,0.9722295663103754,0.1895630837907506,0.44033375062794367
pocid,mlforecast,without_mstl,xgb,1,M960,136.15804036458334,0.7835181350903134,0.6666666666666666,9354.560344827587,0.1547555069579788,0.00438392339346452,0.9951761949397414,0.11323894934028622,0.9336540131576809
pocid,neuralforecast,without_mstl,nhits,1,M718,147.45632595486111,0.5147815878951707,0.8333333333333334,3275.3650793650795,0.19422852314154837,0.004960810336608944,0.9623338383803073,0.715703452775138,0.95150546138391
pocid,neuralforecast,without_mstl,nlinear,1,M1255,645.8857693142361,0.580107971042176,0.7222222222222222,4375.84,0.33954011212186636,0.022234079196050055,0.9490221466806692,0.4535036481437891,0.7795720629043312
pocid,statistical,without_mstl,auto_arima,1,M1187,247.14465892383365,0.16001596563537304,1.0,7137.620689655172,0.18712054235068784,0.005480923785122269,0.9993146253627532,0.14935051017832812,0.969909913331708
pocid,transformer,with_mstl,patchtst,1,M22,1521.9157518831225,0.9578490746117554,0.5555555555555556,5723.529411764706,0.5530526051809042,-0.020191319471894995,0.702652613124455,0.5574085627361096,0.09105081274871225
