comparates,transformer,neuralforecast,mlforecast,statistical
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.1366
173 / 0 / 160
0.0004","-0.1538
181 / 0 / 152
0.0027","-0.2052
165 / 0 / 168
0.1061"
neuralforecast,"0.1366
160 / 0 / 173
0.0004",-,"-0.0172
154 / 0 / 179
0.6695","-0.0686
136 / 0 / 197
0.2046"
mlforecast,"0.1538
152 / 0 / 181
0.0027","0.0172
179 / 0 / 154
0.6695",-,"-0.0514
144 / 0 / 189
0.0895"
statistical,"0.2052
168 / 0 / 165
0.1061","0.0686
197 / 0 / 136
0.2046","0.0514
189 / 0 / 144
0.0895","If in bold, then
p-value < 0.05
Holm correction"
