feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
nonlinearity_score,Degree of non-linearity,combined_monthly,High,statistical,without_mstl,334,92,0.2754491017964072,0.9179966569864143,0.9278333570511634,0.9318118649313666,0.8369735031706649,701.1112553734075,464.6711177085987,0.42332002661343976,0.5
nonlinearity_score,Degree of non-linearity,combined_monthly,High,transformer,without_mstl,334,32,0.09580838323353294,0.9344226421054139,0.983764318356152,0.9945993776043094,0.873489033871139,768.9758955434246,486.85300699869794,0.521540252827678,0.5
nonlinearity_score,Degree of non-linearity,combined_monthly,High,transformer,with_mstl,334,14,0.041916167664670656,0.985409048537941,0.9716569344074244,0.9496826516015224,0.9025366488074379,799.5189723064705,484.23933748532556,0.5765968063872255,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,High,neuralforecast,without_mstl,334,62,0.18562874251497005,1.0039629210234666,0.9655289105978784,1.0368896522756619,0.9055517214050859,820.4005139075292,498.5389506022135,0.5324905744067421,0.5277777777777778
nonlinearity_score,Degree of non-linearity,combined_monthly,High,mlforecast,without_mstl,334,42,0.12574850299401197,1.020661971169024,0.9355295593623598,1.037330666514403,0.8934719008672151,766.1288984490618,492.5339229557119,0.5204590818363274,0.5
nonlinearity_score,Degree of non-linearity,combined_monthly,High,neuralforecast,with_mstl,334,25,0.0748502994011976,1.0209600982276543,0.9577315616093389,0.9660293248488152,0.9216606652961362,824.3167400195753,499.8588816885449,0.5781769793745841,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,High,mlforecast,with_mstl,334,21,0.06287425149700598,1.0337108275138884,0.9660656791193079,0.9999770727252897,0.9378404538576335,823.8874651271879,501.9368781005081,0.5775948103792415,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,High,statistical,with_mstl,334,46,0.1377245508982036,1.0428435819150566,0.9199693325915154,0.9833012451991289,0.9100537437237082,786.3106354370766,490.74269731128254,0.5841650033266799,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,High,baseline,without_mstl,334,13,0.038922155688622756,1.1577071527911462,1.053901642820632,1.0,1.0,863.0115487454877,549.2847222222222,0.5625415834996674,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,Low,statistical,without_mstl,334,105,0.3143712574850299,0.9198505207829409,0.8769810281447216,0.8964938097874272,0.779484851983282,547.6317716729114,309.01169328490545,0.4983969043670536,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,Low,transformer,with_mstl,334,18,0.05389221556886228,0.9644052563654447,0.9481320155187869,0.8885899771483581,0.847457166598382,583.5796254166469,357.367513602948,0.5691542288557214,0.5555555555555556
nonlinearity_score,Degree of non-linearity,combined_monthly,Low,transformer,without_mstl,334,38,0.11377245508982035,0.9770695874413886,0.9904351302730385,0.9991415428322639,0.8962602794615613,576.703755001974,373.5745273166233,0.5158374792703151,0.5
nonlinearity_score,Degree of non-linearity,combined_monthly,Low,mlforecast,with_mstl,334,12,0.03592814371257485,1.0102652609648888,0.9530547716262242,0.9524177550828625,0.8733155293786936,605.7079258511043,373.525203205087,0.5660862354892205,0.5555555555555556
