week4_group,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
combined_monthly,statistical,without_mstl,999,281,0.28128128128128127,0.9403822486699377,0.905160049790454,0.9235490823408645,0.8128171507390806,600.8229407519077,352.09232642040297,0.4759000517483552,0.5555555555555556
combined_monthly,transformer,with_mstl,999,49,0.04904904904904905,0.9741887156805428,0.9478221067175432,0.9075158838739898,0.871812064157518,658.3752424194327,376.5473127170669,0.5748502994011976,0.5555555555555556
combined_monthly,transformer,without_mstl,999,93,0.09309309309309309,0.981429475727866,0.9906799997984144,0.9952298881014598,0.8902486956655191,657.39061104674,392.19940863715277,0.5165225105344866,0.5
combined_monthly,mlforecast,with_mstl,999,58,0.05805805805805806,1.005613001336706,0.936501399708088,0.9517703558531241,0.8843008216870886,673.2781396396825,385.87941141382106,0.574143379906853,0.5555555555555556
combined_monthly,neuralforecast,without_mstl,999,160,0.16016016016016016,1.0109071287412768,0.9503913826076102,1.031030799985812,0.8717185217805069,690.6064145113652,399.3631089952257,0.5359281437125748,0.5555555555555556
combined_monthly,neuralforecast,with_mstl,999,87,0.08708708708708708,1.0153895917847091,0.9313844637957048,0.9285833024471072,0.8797349388944432,673.1057176916642,379.5142545075124,0.579119538700377,0.5555555555555556
combined_monthly,statistical,with_mstl,999,158,0.15815815815815815,1.031878116228791,0.8794114005339295,0.9420612168943024,0.8752621206709426,647.2892796189454,375.05085789037275,0.5929437421453388,0.6111111111111112
combined_monthly,mlforecast,without_mstl,999,127,0.12712712712712712,1.067425617496909,0.9508164361252469,1.039334874403253,0.8774804637567494,663.0405728068902,423.2630885615881,0.5098830117542693,0.5
combined_monthly,baseline,without_mstl,999,31,0.031031031031031032,1.2356853777426753,1.0850113945605715,1.0,1.0,745.1209398995442,449.27777777777777,0.5717453980927035,0.5555555555555556
combined_quarterly,transformer,with_mstl,987,56,0.05673758865248227,0.9985658949586221,0.9413156838414001,0.9081585537498257,0.8084538511674624,531.5245848426373,289.8279368402609,0.6320053606237817,0.625
combined_quarterly,transformer,without_mstl,987,113,0.11448834853090173,1.0999205446306095,0.9841997586729214,1.0898974889518203,0.8443540417217441,569.9725922398379,312.10426391601567,0.5884502923976608,0.625
combined_quarterly,mlforecast,with_mstl,987,111,0.11246200607902736,1.144087780058613,0.8929745070314057,1.0281864013275421,0.8208516691424342,528.4978908280411,287.27833401232823,0.6399244639376218,0.625
combined_quarterly,neuralforecast,without_mstl,987,134,0.13576494427558258,1.1492795409840462,0.945253493776941,1.1161998197777594,0.8713673893942165,599.4898707685035,313.32493591308594,0.5778508771929824,0.625
combined_quarterly,statistical,without_mstl,987,192,0.1945288753799392,1.151282619092159,0.9743867323781694,1.0337511700612616,0.8285714285714286,540.9373572069779,285.24844115872213,0.5506416504223521,0.625
combined_quarterly,neuralforecast,with_mstl,987,134,0.13576494427558258,1.1723737539493297,0.9020567365846064,1.0153316049641117,0.847863884511223,578.8172786475958,295.93494459181125,0.6403508771929824,0.625
combined_quarterly,statistical,with_mstl,987,165,0.16717325227963525,1.2324451381103918,0.9084792869896869,1.076469445234834,0.8313516154435932,562.8498241003879,287.8427490468045,0.6571231319038336,0.625
combined_quarterly,baseline,without_mstl,987,45,0.04559270516717325,1.2363038115813156,1.1415347369713473,1.0,1.0,609.2246222639478,354.71841874999996,0.6164717348927875,0.625
combined_quarterly,mlforecast,without_mstl,987,103,0.10435663627152988,1.3093681611602181,0.9527814895643667,1.2241763637953422,0.8876868821572996,581.5702684547786,341.3446367115144,0.5658808479532164,0.625
