week4_group,dataset,frequency,family,variant,model,n_series,rel_naive,median_rel_naive,mase,median_mase,mae,median_mae,pocid,median_pocid
combined_monthly,M3,Monthly,statistical,without_mstl,auto_ets,500,0.8645609100380022,0.8173394767157262,0.8384720644994379,0.7885764144622458,595.8633483172691,426.4981658374735,0.4924595253936571,0.5555555555555556
combined_monthly,M3,Monthly,transformer,without_mstl,auto_tft,500,0.8811904221575517,0.8586351799242423,0.9125256429713914,0.8301232243388643,644.6247817136992,484.2923990885417,0.5528942115768463,0.5555555555555556
combined_monthly,M3,Monthly,neuralforecast,without_mstl,auto_nhits,500,0.8950772498648524,0.8224638326147702,0.872164662750578,0.8294579556052808,611.4405184517575,450.1791178385417,0.601907296518075,0.6111111111111112
combined_monthly,M4,Monthly,transformer,without_mstl,auto_tft,500,0.9073659881572265,0.9194255135328511,0.8843984559342719,0.8259067330309139,557.979539799785,243.06812201605902,0.5451319583056109,0.5555555555555556
combined_monthly,M3,Monthly,statistical,without_mstl,auto_sarima,500,0.908862705469227,0.8078029030731669,0.8830933287729156,0.7875277701560707,625.164737670645,445.00066996259415,0.5321579064094035,0.5555555555555556
combined_monthly,M4,Monthly,neuralforecast,without_mstl,auto_nhits,500,0.9248721869358261,0.9000835873318755,0.9034999869765924,0.8065294190976099,590.8173860383725,230.27082790798613,0.5656464848081615,0.5555555555555556
combined_monthly,M4,Monthly,statistical,without_mstl,auto_ets,500,0.92497069868538,0.9906490636785387,0.9043512010317007,0.7889299205245373,563.5707861045752,226.23702593259748,0.43524062985140827,0.5
combined_monthly,M3,Monthly,statistical,with_mstl,auto_ets,500,0.93457447599836,0.8597891704952284,0.8980685048050686,0.8841050412536253,660.8275376850602,470.234506040175,0.5907074739410069,0.5555555555555556
combined_monthly,M3,Monthly,transformer,with_mstl,auto_tft,500,0.9510620582066351,0.8731088585435205,0.8968132629368628,0.8773399318958343,678.9456516436148,475.0513436132673,0.5770680860501219,0.5555555555555556
combined_monthly,M4,Monthly,statistical,without_mstl,auto_sarima,500,0.9544129327749389,0.8790527634228136,0.8870907203014742,0.7869889746720855,550.2968062294492,217.1980812705854,0.5474606342869816,0.5555555555555556
combined_monthly,M3,Monthly,neuralforecast,with_mstl,auto_nhits,500,0.9604976620665883,0.8411526218745075,0.9048361865740128,0.8619344129231667,677.1550452232274,484.59707154912326,0.5833887779995565,0.6111111111111112
combined_monthly,M3,Monthly,statistical,with_mstl,auto_arima,500,0.9661595377975156,0.868645984582907,0.9180716080327651,0.8848298649121938,681.6712361508725,450.63584263857956,0.5911510312707917,0.5555555555555556
combined_monthly,M3,Monthly,neuralforecast,with_mstl,auto_lstm,500,0.9668182896194549,0.907909156063143,0.9014242160593506,0.886115706505719,681.4559720398976,483.0456651368206,0.5809492126857396,0.5555555555555556
combined_monthly,M3,Monthly,mlforecast,with_mstl,auto_ridge,500,0.9699691001438494,0.9066071271154501,0.9571898510027187,0.8937872334379345,724.1809033216198,509.98509900958146,0.5708582834331337,0.5555555555555556
combined_monthly,M3,Monthly,mlforecast,with_mstl,auto_lr,500,0.9703541961332354,0.9066536783845578,0.9582040957901773,0.8954534613990902,724.8258928049466,510.32415839752855,0.5711909514304723,0.5555555555555556
