feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
structural_break_strength,Structural break strength,combined_monthly,High,statistical,without_mstl,333,102,0.3063063063063063,1.0247590956812935,0.9434737137468288,0.8763899309085024,0.686189292769531,454.3866959503236,210.7440156629526,0.513613315696649,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,transformer,with_mstl,333,16,0.04804804804804805,1.0513569867583241,1.0041591713691431,0.8284384074937641,0.7603359854788794,538.5344337529647,262.5507208983222,0.5473710317460319,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,neuralforecast,without_mstl,333,36,0.10810810810810811,1.0666511552993074,0.9618811807775505,0.8664691606369763,0.7919030665959355,546.5902826248915,249.68541124131946,0.5284391534391535,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,mlforecast,with_mstl,333,16,0.04804804804804805,1.067345892195581,0.9560045108845823,0.8534745482380205,0.7528158777596925,533.2979252164441,261.52885433097083,0.5477430555555556,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,neuralforecast,with_mstl,333,27,0.08108108108108109,1.0923084454712813,0.9607228003764507,0.846630902700311,0.7732840089315725,543.5804045632107,257.8518115901377,0.5586970899470899,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,transformer,without_mstl,333,24,0.07207207207207207,1.11175895706539,0.9993996182114679,0.8895096340650033,0.871293221929289,552.9243967596032,264.7020043267144,0.5128968253968255,0.5
structural_break_strength,Structural break strength,combined_monthly,High,statistical,with_mstl,333,80,0.24024024024024024,1.132027029901633,0.8808928528182831,0.889993639793389,0.6829334585102642,488.5614403226976,228.60530554042884,0.5892305996472663,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,High,mlforecast,without_mstl,333,48,0.14414414414414414,1.2511747310279797,1.0250292722742906,0.972265898040139,0.8295876931621169,578.643504951722,289.3123103769859,0.4779679232804233,0.5
structural_break_strength,Structural break strength,combined_monthly,High,baseline,without_mstl,333,7,0.021021021021021023,1.4551129301849812,1.2648188345299716,1.0,1.0,686.0501692374843,335.12222629123266,0.5646494708994709,0.5555555555555556
structural_break_strength,Structural break strength,combined_monthly,Low,statistical,without_mstl,334,95,0.2844311377245509,0.8146306995656155,0.8277843453651714,0.9257832664961818,0.8508612845513813,734.7005766414521,530.5885526780839,0.4163894433355511,0.5
