comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0649
310 / 0 / 356
0.5972","-0.1299
306 / 0 / 360
0.9394","-0.1844
354 / 0 / 312
0.0001"
neuralforecast,"0.0649
356 / 0 / 310
0.5972",-,"-0.0650
293 / 0 / 373
0.2395","-0.1195
356 / 0 / 310
0.0002"
statistical,"0.1299
360 / 0 / 306
0.9394","0.0650
373 / 0 / 293
0.2395",-,"-0.0545
387 / 0 / 279
0.0001"
mlforecast,"0.1844
312 / 0 / 354
0.0001","0.1195
310 / 0 / 356
0.0002","0.0545
279 / 0 / 387
0.0001","If in bold, then
p-value < 0.05
Holm correction"
