comparates,transformer | with_mstl,transformer | without_mstl,mlforecast | with_mstl,neuralforecast | without_mstl,neuralforecast | with_mstl,statistical | without_mstl,statistical | with_mstl,mlforecast | without_mstl
transformer | with_mstl,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0992
181 / 0 / 152
0.0039","-0.1155
172 / 0 / 161
0.2241","-0.1531
186 / 0 / 147
 $\leq$ 1e-04","-0.1900
188 / 0 / 145
 $\leq$ 1e-04","-0.2017
172 / 0 / 161
0.1796","-0.2732
189 / 0 / 144
0.0004","-0.2905
188 / 0 / 145
 $\leq$ 1e-04"
transformer | without_mstl,"0.0992
152 / 0 / 181
0.0039",-,"-0.0163
161 / 0 / 172
0.5129","-0.0538
171 / 0 / 162
0.0606","-0.0908
174 / 0 / 159
0.1274","-0.1025
150 / 0 / 183
0.3647","-0.1740
167 / 0 / 166
0.0881","-0.1913
193 / 0 / 140
 $\leq$ 1e-04"
mlforecast | with_mstl,"0.1155
161 / 0 / 172
0.2241","0.0163
172 / 0 / 161
0.5129",-,"-0.0375
187 / 0 / 146
0.0394","-0.0745
184 / 0 / 149
0.0286","-0.0862
159 / 0 / 174
0.9399","-0.1576
175 / 0 / 158
0.2602","-0.1750
209 / 0 / 124
 $\leq$ 1e-04"
neuralforecast | without_mstl,"0.1531
147 / 0 / 186
 $\leq$ 1e-04","0.0538
162 / 0 / 171
0.0606","0.0375
146 / 0 / 187
0.0394",-,"-0.0369
174 / 0 / 159
0.2196","-0.0486
132 / 0 / 201
0.0339","-0.1201
158 / 0 / 175
0.8643","-0.1374
169 / 0 / 164
0.0387"
neuralforecast | with_mstl,"0.1900
145 / 0 / 188
 $\leq$ 1e-04","0.0908
159 / 0 / 174
0.1274","0.0745
149 / 0 / 184
0.0286","0.0369
159 / 0 / 174
0.2196",-,"-0.0117
154 / 0 / 179
0.2136","-0.0832
159 / 0 / 174
0.5845","-0.1005
179 / 0 / 154
0.0132"
statistical | without_mstl,"0.2017
161 / 0 / 172
0.1796","0.1025
183 / 0 / 150
0.3647","0.0862
174 / 0 / 159
0.9399","0.0486
201 / 0 / 132
0.0339","0.0117
179 / 0 / 154
0.2136",-,"-0.0715
181 / 0 / 152
0.0593","-0.0888
197 / 0 / 136
0.0001"
statistical | with_mstl,"0.2732
144 / 0 / 189
0.0004","0.1740
166 / 0 / 167
0.0881","0.1576
158 / 0 / 175
0.2602","0.1201
175 / 0 / 158
0.8643","0.0832
174 / 0 / 159
0.5845","0.0715
152 / 0 / 181
0.0593",-,"-0.0173
188 / 0 / 145
0.0148"
mlforecast | without_mstl,"0.2905
145 / 0 / 188
 $\leq$ 1e-04","0.1913
140 / 0 / 193
 $\leq$ 1e-04","0.1750
124 / 0 / 209
 $\leq$ 1e-04","0.1374
164 / 0 / 169
0.0387","0.1005
154 / 0 / 179
0.0132","0.0888
136 / 0 / 197
0.0001","0.0173
145 / 0 / 188
0.0148","If in bold, then
p-value < 0.05
Holm correction"
