comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0708
169 / 0 / 164
0.0141","-0.0921
150 / 0 / 183
0.5740","-0.2205
176 / 0 / 157
0.0119"
neuralforecast,"0.0708
164 / 0 / 169
0.0141",-,"-0.0213
137 / 0 / 196
0.0108","-0.1497
167 / 0 / 166
0.2807"
statistical,"0.0921
183 / 0 / 150
0.5740","0.0213
196 / 0 / 137
0.0108",-,"-0.1284
198 / 0 / 135
0.0012"
mlforecast,"0.2205
157 / 0 / 176
0.0119","0.1497
166 / 0 / 167
0.2807","0.1284
135 / 0 / 198
0.0012","If in bold, then
p-value < 0.05
Holm correction"
