comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.1523
180 / 0 / 152
 $\leq$ 1e-04","-0.1638
155 / 0 / 177
0.7729","-0.1680
165 / 0 / 167
0.0215"
neuralforecast,"0.1523
152 / 0 / 180
 $\leq$ 1e-04",-,"-0.0115
137 / 0 / 195
0.0237","-0.0156
160 / 0 / 172
0.8747"
statistical,"0.1638
177 / 0 / 155
0.7729","0.0115
195 / 0 / 137
0.0237",-,"-0.0042
188 / 0 / 144
0.0138"
mlforecast,"0.1680
167 / 0 / 165
0.0215","0.0156
172 / 0 / 160
0.8747","0.0042
144 / 0 / 188
0.0138","If in bold, then
p-value < 0.05
Holm correction"
