comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0777
364 / 0 / 300
 $\leq$ 1e-04","-0.0844
315 / 0 / 349
0.6600","-0.0952
340 / 0 / 324
0.0127"
neuralforecast,"0.0777
300 / 0 / 364
 $\leq$ 1e-04",-,"-0.0067
257 / 0 / 407
 $\leq$ 1e-04","-0.0175
310 / 0 / 354
0.2675"
statistical,"0.0844
349 / 0 / 315
0.6600","0.0067
407 / 0 / 257
 $\leq$ 1e-04",-,"-0.0108
377 / 0 / 287
0.0013"
mlforecast,"0.0952
324 / 0 / 340
0.0127","0.0175
354 / 0 / 310
0.2675","0.0108
287 / 0 / 377
0.0013","If in bold, then
p-value < 0.05
Holm correction"
