feature,feature_label,week4_group,bucket,family,variant,n_series,series_wins,win_share,mean_rel_naive,median_rel_naive,mean_mase,median_mase,mean_mae,median_mae,mean_pocid,median_pocid
seasonality_evolution,Evolving seasonality score,combined_monthly,High,statistical,without_mstl,333,104,0.3123123123123123,1.006734101273093,0.9018588247382293,0.8428001473811007,0.6609161998587598,404.51500141187245,202.0189964960575,0.5262896825396826,0.5555555555555556
seasonality_evolution,Evolving seasonality score,combined_monthly,High,transformer,with_mstl,333,14,0.042042042042042045,1.016783126280045,1.0014390252675176,0.8101454959162259,0.761666561180099,487.6159373930897,244.45943739048582,0.533316798941799,0.5
seasonality_evolution,Evolving seasonality score,combined_monthly,High,neuralforecast,without_mstl,333,37,0.1111111111111111,1.0290868666845194,0.9508744669589559,0.8316352428008051,0.7712970981557583,487.7585261751018,238.85077582465277,0.5248567019400353,0.5
seasonality_evolution,Evolving seasonality score,combined_monthly,High,neuralforecast,with_mstl,333,32,0.0960960960960961,1.0445088500692403,0.9651417442428951,0.8184844160279146,0.7667479256952303,487.9002666722493,238.7436403924547,0.5439263668430335,0.5555555555555556
seasonality_evolution,Evolving seasonality score,combined_monthly,High,mlforecast,with_mstl,333,19,0.057057057057057055,1.0622838660267642,0.964558967622875,0.8612586658709249,0.7515831822997154,501.0957061772874,247.44585838470255,0.5346395502645501,0.5
seasonality_evolution,Evolving seasonality score,combined_monthly,High,transformer,without_mstl,333,25,0.07507507507507508,1.0705275635760585,0.9968339904396242,0.8505100509249307,0.8338843564276115,485.4921910382433,253.73750813802081,0.5067791005291005,0.5
seasonality_evolution,Evolving seasonality score,combined_monthly,High,statistical,with_mstl,333,70,0.21021021021021022,1.0960797469507806,0.8867212763470229,0.8660313037572973,0.703463886892782,455.00758386786106,221.5757021042839,0.5771053791887125,0.5555555555555556
seasonality_evolution,Evolving seasonality score,combined_monthly,High,mlforecast,without_mstl,333,49,0.14714714714714713,1.2262673684448044,1.0350953626946224,0.9512088015897553,0.8179971569262023,520.2594690274467,276.6129319932726,0.4732556216931217,0.5
seasonality_evolution,Evolving seasonality score,combined_monthly,High,baseline,without_mstl,333,5,0.015015015015015015,1.441499610054461,1.3362396586306224,1.0,1.0,607.1313358158645,342.08333333333337,0.5492724867724869,0.5555555555555556
seasonality_evolution,Evolving seasonality score,combined_monthly,Low,statistical,without_mstl,334,100,0.2994011976047904,0.8406430362319187,0.8409747318153235,0.9693872777728817,0.85732226158556,752.1635242279183,535.9871672934785,0.4333000665335994,0.5
