matrix,scope,feature,week4_group,bucket,row_candidate,column_candidate,n_shared_series,share_row_better_rel_naive,mean_rel_naive_delta
family_only_all_models,feature_global,seasonality_evolution,all,all,neuralforecast,neuralforecast,1986,0.5,0.0
family_only_all_models,feature_global,seasonality_evolution,all,all,neuralforecast,statistical,1986,0.38418932527693855,-0.0025311249577768965
family_only_all_models,feature_global,seasonality_evolution,all,all,neuralforecast,transformer,1986,0.4692849949647533,0.07610303594437773
family_only_all_models,feature_global,seasonality_evolution,all,all,statistical,mlforecast,1986,0.5926485397784491,-0.042030527484488676
family_only_all_models,feature_global,seasonality_evolution,all,all,statistical,neuralforecast,1986,0.6158106747230614,0.0025311249577768965
family_only_all_models,feature_global,seasonality_evolution,all,all,statistical,statistical,1986,0.5,0.0
family_only_all_models,feature_global,seasonality_evolution,all,all,statistical,transformer,1986,0.5523665659617322,0.07863416090215464
family_only_all_models,feature_global,seasonality_evolution,all,all,transformer,mlforecast,1986,0.5312185297079557,-0.1206646883866433
family_only_all_models,feature_global,seasonality_evolution,all,all,transformer,neuralforecast,1986,0.5307150050352467,-0.07610303594437773
family_only_all_models,feature_global,seasonality_evolution,all,all,transformer,statistical,1986,0.4476334340382679,-0.07863416090215464
family_only_all_models,feature_global,seasonality_evolution,all,all,transformer,transformer,1986,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast,mlforecast,666,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast,neuralforecast,666,0.43843843843843844,0.12302109684541843
family_only_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast,statistical,666,0.3888888888888889,0.03397108285912074
family_only_all_models,feature_bucket,seasonality_evolution,all,High,mlforecast,transformer,666,0.43243243243243246,0.19240219201182085
family_only_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast,mlforecast,666,0.5615615615615616,-0.12302109684541843
family_only_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast,neuralforecast,666,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast,statistical,666,0.4339339339339339,-0.0890500139862977
family_only_all_models,feature_bucket,seasonality_evolution,all,High,neuralforecast,transformer,666,0.536036036036036,0.06938109516640242
family_only_all_models,feature_bucket,seasonality_evolution,all,High,statistical,mlforecast,666,0.6111111111111112,-0.03397108285912074
family_only_all_models,feature_bucket,seasonality_evolution,all,High,statistical,neuralforecast,666,0.566066066066066,0.0890500139862977
family_only_all_models,feature_bucket,seasonality_evolution,all,High,statistical,statistical,666,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,High,statistical,transformer,666,0.5345345345345346,0.1584311091527001
family_only_all_models,feature_bucket,seasonality_evolution,all,High,transformer,mlforecast,666,0.5675675675675675,-0.19240219201182085
family_only_all_models,feature_bucket,seasonality_evolution,all,High,transformer,neuralforecast,666,0.46396396396396394,-0.06938109516640242
family_only_all_models,feature_bucket,seasonality_evolution,all,High,transformer,statistical,666,0.46546546546546547,-0.1584311091527001
family_only_all_models,feature_bucket,seasonality_evolution,all,High,transformer,transformer,666,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast,mlforecast,668,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast,neuralforecast,668,0.5763473053892215,-0.006285184952737591
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast,statistical,668,0.3997005988023952,0.08223398825669963
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,mlforecast,transformer,668,0.48502994011976047,0.0735272836927436
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast,mlforecast,668,0.4236526946107784,0.006285184952737591
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast,neuralforecast,668,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast,statistical,668,0.3338323353293413,0.08851917320943722
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,neuralforecast,transformer,668,0.4221556886227545,0.07981246864548121
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,statistical,mlforecast,668,0.6002994011976048,-0.08223398825669963
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,statistical,neuralforecast,668,0.6661676646706587,-0.08851917320943722
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,statistical,statistical,668,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,statistical,transformer,668,0.5958083832335329,-0.008706704563956039
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,transformer,mlforecast,668,0.5149700598802395,-0.0735272836927436
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,transformer,neuralforecast,668,0.5778443113772455,-0.07981246864548121
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,transformer,statistical,668,0.4041916167664671,0.008706704563956039
family_only_all_models,feature_bucket,seasonality_evolution,all,Low,transformer,transformer,668,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast,mlforecast,664,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast,neuralforecast,664,0.5331325301204819,0.017479386285374772
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast,statistical,664,0.4322289156626506,0.010797494667610617
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,mlforecast,transformer,664,0.4879518072289157,0.09516831954841104
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast,mlforecast,664,0.46686746987951805,-0.017479386285374772
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast,neuralforecast,664,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast,statistical,664,0.3870481927710843,-0.006681891617764147
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,neuralforecast,transformer,664,0.45180722891566266,0.07768893326303625
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical,mlforecast,664,0.5677710843373494,-0.010797494667610617
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical,neuralforecast,664,0.6129518072289156,0.006681891617764147
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical,statistical,664,0.5,0.0
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,statistical,transformer,664,0.5256024096385542,0.0843708248808004
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer,mlforecast,664,0.5120481927710844,-0.09516831954841104
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer,neuralforecast,664,0.5481927710843374,-0.07768893326303625
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer,statistical,664,0.4743975903614458,-0.0843708248808004
family_only_all_models,feature_bucket,seasonality_evolution,all,Medium,transformer,transformer,664,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast,mlforecast,333,0.5,0.0
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast,neuralforecast,333,0.42042042042042044,0.10932996587757937
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast,statistical,333,0.36036036036036034,0.09881889961428622
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast,transformer,333,0.4174174174174174,0.10546562312651798
family_only_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,neuralforecast,mlforecast,333,0.5795795795795796,-0.10932996587757937
