comparates,transformer | with_mstl,transformer | without_mstl,mlforecast | with_mstl,neuralforecast | without_mstl,statistical | without_mstl,neuralforecast | with_mstl,statistical | with_mstl,mlforecast | without_mstl
transformer | with_mstl,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0630
170 / 0 / 162
0.1211","-0.0964
158 / 0 / 174
0.7708","-0.1066
179 / 0 / 153
0.0017","-0.1149
160 / 0 / 172
0.9872","-0.1313
188 / 0 / 144
0.0015","-0.2216
171 / 0 / 161
0.0306","-0.2406
181 / 0 / 151
0.0004"
transformer | without_mstl,"0.0630
162 / 0 / 170
0.1211",-,"-0.0334
163 / 0 / 169
0.7585","-0.0436
173 / 0 / 159
0.0419","-0.0519
147 / 0 / 185
0.1480","-0.0683
166 / 0 / 166
0.2422","-0.1585
157 / 0 / 175
0.2937","-0.1775
180 / 0 / 152
0.0033"
mlforecast | with_mstl,"0.0964
174 / 0 / 158
0.7708","0.0334
169 / 0 / 163
0.7585",-,"-0.0102
183 / 0 / 149
0.1315","-0.0185
157 / 0 / 175
0.4029","-0.0349
188 / 0 / 144
0.0854","-0.1251
169 / 0 / 163
0.3795","-0.1442
203 / 0 / 129
 $\leq$ 1e-04"
neuralforecast | without_mstl,"0.1066
153 / 0 / 179
0.0017","0.0436
159 / 0 / 173
0.0419","0.0102
149 / 0 / 183
0.1315",-,"-0.0083
126 / 0 / 206
0.0046","-0.0247
153 / 0 / 179
0.8608","-0.1150
152 / 0 / 180
0.6329","-0.1340
165 / 0 / 167
0.2390"
statistical | without_mstl,"0.1149
172 / 0 / 160
0.9872","0.0519
185 / 0 / 147
0.1480","0.0185
175 / 0 / 157
0.4029","0.0083
206 / 0 / 126
0.0046",-,"-0.0163
186 / 0 / 146
0.0363","-0.1066
186 / 0 / 146
0.0028","-0.1256
198 / 0 / 134
0.0002"
neuralforecast | with_mstl,"0.1313
144 / 0 / 188
0.0015","0.0683
166 / 0 / 166
0.2422","0.0349
144 / 0 / 188
0.0854","0.0247
179 / 0 / 153
0.8608","0.0163
146 / 0 / 186
0.0363",-,"-0.0903
162 / 0 / 170
0.7989","-0.1093
181 / 0 / 151
0.0674"
statistical | with_mstl,"0.2216
161 / 0 / 171
0.0306","0.1585
175 / 0 / 157
0.2937","0.1251
163 / 0 / 169
0.3795","0.1150
180 / 0 / 152
0.6329","0.1066
146 / 0 / 186
0.0028","0.0903
170 / 0 / 162
0.7989",-,"-0.0190
184 / 0 / 148
0.1502"
mlforecast | without_mstl,"0.2406
151 / 0 / 181
0.0004","0.1775
152 / 0 / 180
0.0033","0.1442
129 / 0 / 203
 $\leq$ 1e-04","0.1340
167 / 0 / 165
0.2390","0.1256
134 / 0 / 198
0.0002","0.1093
151 / 0 / 181
0.0674","0.0190
148 / 0 / 184
0.1502","If in bold, then
p-value < 0.05
Holm correction"
