comparates,transformer,neuralforecast,statistical,mlforecast
transformer,"Mean-Difference
r<c / r=c / r>c
Wilcoxon p-value","-0.0874
165 / 0 / 167
0.0171","-0.1367
162 / 0 / 170
0.4937","-0.1370
165 / 0 / 167
0.2410"
neuralforecast,"0.0874
167 / 0 / 165
0.0171",-,"-0.0493
144 / 0 / 188
0.1173","-0.0496
152 / 0 / 180
0.6517"
statistical,"0.1367
170 / 0 / 162
0.4937","0.0493
188 / 0 / 144
0.1173",-,"-0.0002
180 / 0 / 152
0.2267"
mlforecast,"0.1370
167 / 0 / 165
0.2410","0.0496
180 / 0 / 152
0.6517","0.0002
152 / 0 / 180
0.2267","If in bold, then
p-value < 0.05
Holm correction"
