matrix,scope,feature,week4_group,bucket,candidate,n_series,n_rows,n_models,mean_rel_naive,mean_mase,mean_mae,mean_pocid,rank_rel_naive
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,statistical | with_mstl,333,1008,3,1.0960797469507806,0.8660313037572973,455.00758386786106,0.5771053791887125,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,High,mlforecast | without_mstl,333,1344,4,1.2262673684448047,0.9512088015897553,520.2594690274467,0.4732556216931217,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical | without_mstl,334,1002,3,0.8406430362319188,0.9693872777728817,752.1635242279183,0.4333000665335994,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,transformer | with_mstl,334,668,2,0.9019374330605411,0.9706111088537012,830.7148308921186,0.6020459081836328,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,transformer | without_mstl,334,668,2,0.9019412161940686,1.161094696398205,848.0955678699931,0.5247005988023952,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast | without_mstl,334,1336,4,0.9195026242821637,1.1638585016116876,816.1421920834704,0.5389221556886228,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,mlforecast | with_mstl,334,1336,4,0.9281170055697378,1.0090266462005613,844.9115451775888,0.5998003992015969,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,statistical | with_mstl,334,1002,3,0.9339398020764197,0.9896568428533442,825.7506664129414,0.602960745176314,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast | with_mstl,334,1002,3,0.9415268870483808,0.9985323441620345,857.686287822234,0.6022399645154136,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Low,neuralforecast | without_mstl,334,1002,3,0.9530954407910724,1.231209752121028,904.5815631229523,0.5512863162563761,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,transformer | without_mstl,332,664,2,0.9712250214124915,0.9748293438851972,639.5063144921869,0.5181559571619813,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,statistical | without_mstl,332,996,3,0.9735710272230644,0.9591565668956448,647.243762249692,0.46775992860330207,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,transformer | with_mstl,332,664,2,1.0037676507216504,0.9425840923396076,657.8141097054995,0.589524765729585,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,mlforecast | with_mstl,332,1328,4,1.0262221942593197,0.9857713403650967,674.8677185363813,0.5883115796519411,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,neuralforecast | without_mstl,332,996,3,1.050668308941393,1.031443863844246,680.6340977785774,0.5316822846943329,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,mlforecast | without_mstl,332,1328,4,1.0554842060970056,1.0032489375891502,653.5180126608517,0.5177376171352075,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,neuralforecast | with_mstl,332,996,3,1.060227159851972,0.969638259989466,674.8500584112819,0.5914770191878626,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_monthly,Medium,statistical | with_mstl,332,996,3,1.0654312758803086,0.9711248064838018,662.3511669176495,0.5988955823293173,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,transformer | with_mstl,333,688,2,1.0913574761828992,0.8522748892546341,465.0085265699625,0.5545058139534884,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,transformer | without_mstl,333,688,2,1.2507958422495526,0.942050717021633,487.5237216892104,0.5872093023255814,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,neuralforecast | without_mstl,333,1032,3,1.2606882947137308,0.926241704875528,487.66238986254433,0.5575339147286822,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,mlforecast | with_mstl,333,1376,4,1.320841083189498,1.0035341953405603,482.2199991116707,0.5699491279069767,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,neuralforecast | with_mstl,333,1032,3,1.3591594237837585,0.9824488550395583,505.2214371247687,0.5727955426356589,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,statistical | without_mstl,333,1032,3,1.4090425295789963,1.0361337993141206,504.70146372447374,0.5641957364341085,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,statistical | with_mstl,333,1032,3,1.5316804040416434,1.1244928237069398,526.2743964312158,0.6016230620155039,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,High,mlforecast | without_mstl,333,1376,4,1.5677921643383237,1.134433784316647,519.6259957786141,0.529796511627907,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,transformer | with_mstl,334,680,2,0.950420210505292,1.0151994744152644,532.8483114423132,0.694485294117647,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,statistical | without_mstl,334,1020,3,0.9789071111634661,1.0829332463267047,539.9557849184739,0.538235294117647,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,statistical | with_mstl,334,1020,3,0.9945502142841068,1.063717793418123,543.3349525146073,0.6996323529411764,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,transformer | without_mstl,334,680,2,1.0311482637424318,1.3419474884593825,613.0917503194206,0.5926470588235294,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,mlforecast | with_mstl,334,1360,4,1.0603845029031667,1.1498643895998284,532.2751387367848,0.6995404411764706,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,neuralforecast | with_mstl,334,1020,3,1.076113004645305,1.1241928914261616,603.6747863147759,0.6938725490196078,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,neuralforecast | without_mstl,334,1020,3,1.1288763967457662,1.432867008497453,676.0219381679818,0.5899509803921569,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Low,mlforecast | without_mstl,334,1360,4,1.1650153638807672,1.4660108443225248,612.6431037626227,0.5993566176470588,8.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,transformer | with_mstl,332,684,2,0.9530958036515491,0.857954072931395,597.1136404037787,0.647843567251462,1.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,transformer | without_mstl,332,684,2,1.0165330391366447,0.9880328389851916,610.0366206677847,0.5855263157894737,2.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,mlforecast | with_mstl,332,1368,4,1.0495146161867621,0.932016351172409,571.2912547504346,0.6510416666666666,3.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,neuralforecast | without_mstl,332,1026,3,1.0575031016799634,0.9924534670341093,635.8868021013317,0.5862573099415205,4.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,statistical | without_mstl,332,1026,3,1.0633828047304152,0.9824601455196412,578.3609885990036,0.5493421052631579,5.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,neuralforecast | with_mstl,332,1026,3,1.0801935912017415,0.9401819809201037,628.1313630833012,0.6550925925925926,6.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,statistical | with_mstl,332,1026,3,1.1679636837846208,1.0408423090455865,619.0398926891619,0.6706871345029239,7.0
family_decomposition_all_models,feature_bucket_by_seasonality,seasonality_evolution,combined_quarterly,Medium,mlforecast | without_mstl,332,1368,4,1.1929415353758468,1.0740235098813917,612.9856655189118,0.5688961988304093,8.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,transformer | with_mstl,1986,4056,2,0.9865215489839497,0.9078410215922382,594.1993180240718,0.6037660256410257,1.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,transformer | without_mstl,1986,4056,2,1.0413761407644613,1.043123851845281,613.1643352598162,0.552912009642779,2.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,statistical | without_mstl,1986,6084,3,1.0470803650669787,0.9793022095603555,570.5257964140882,0.5137131090656731,3.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,mlforecast | with_mstl,1986,8112,4,1.0756697680865464,0.990430544539886,600.031327371071,0.6074231591058514,4.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,neuralforecast | without_mstl,1986,6084,3,1.080912106532737,1.0741192685787795,644.5089914935269,0.557137573964497,5.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,neuralforecast | with_mstl,1986,6084,3,1.0948105732348574,0.9724707572707988,625.4035784119727,0.610097523559062,6.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,statistical | with_mstl,1986,6084,3,1.133348414281317,1.010060646025163,604.5699101110362,0.6254131967272992,7.0
family_decomposition_all_models,feature_global,seasonality_evolution,all,all,mlforecast | without_mstl,1986,8112,4,1.189828502012962,1.1328493557229193,621.8233478240171,0.5382132779969319,8.0
family_decomposition_all_models,global,all,all,all,transformer | with_mstl,1986,4056,2,0.9865215489839497,0.9078410215922382,594.1993180240718,0.6037660256410257,1.0
family_decomposition_all_models,global,all,all,all,transformer | without_mstl,1986,4056,2,1.0413761407644613,1.043123851845281,613.1643352598162,0.552912009642779,2.0
family_decomposition_all_models,global,all,all,all,statistical | without_mstl,1986,6084,3,1.0470803650669787,0.9793022095603555,570.5257964140882,0.5137131090656731,3.0
family_decomposition_all_models,global,all,all,all,mlforecast | with_mstl,1986,8112,4,1.0756697680865464,0.990430544539886,600.031327371071,0.6074231591058514,4.0
family_decomposition_all_models,global,all,all,all,neuralforecast | without_mstl,1986,6084,3,1.080912106532737,1.0741192685787795,644.5089914935269,0.557137573964497,5.0
family_decomposition_all_models,global,all,all,all,neuralforecast | with_mstl,1986,6084,3,1.0948105732348574,0.9724707572707988,625.4035784119727,0.610097523559062,6.0
family_decomposition_all_models,global,all,all,all,statistical | with_mstl,1986,6084,3,1.133348414281317,1.010060646025163,604.5699101110362,0.6254131967272992,7.0
family_decomposition_all_models,global,all,all,all,mlforecast | without_mstl,1986,8112,4,1.189828502012962,1.1328493557229193,621.8233478240171,0.5382132779969319,8.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | without_mstl,999,3006,3,0.9403822486699377,0.9235490823408647,600.8229407519077,0.4759000517483551,1.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | with_mstl,999,2004,2,0.9741887156805428,0.9075158838739898,658.3752424194328,0.5748502994011976,2.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,transformer | without_mstl,999,2004,2,0.981429475727866,0.9952298881014597,657.39061104674,0.5165225105344866,3.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | with_mstl,999,4008,4,1.005613001336706,0.9517703558531241,673.2781396396824,0.5741433799068529,4.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | without_mstl,999,3006,3,1.0109071287412768,1.031030799985812,690.6064145113652,0.5359281437125748,5.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,neuralforecast | with_mstl,999,3006,3,1.0153895917847093,0.9285833024471073,673.1057176916642,0.579119538700377,6.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,statistical | with_mstl,999,3006,3,1.0318781162287913,0.9420612168943026,647.2892796189454,0.592943742145339,7.0
family_decomposition_all_models,seasonality,all,combined_monthly,all,mlforecast | without_mstl,999,4008,4,1.0674256174969092,1.039334874403253,663.0405728068902,0.5098830117542692,8.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,transformer | with_mstl,987,2052,2,0.9985658949586221,0.9081585537498257,531.5245848426374,0.6320053606237817,1.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,transformer | without_mstl,987,2052,2,1.0999205446306095,1.08989748895182,569.9725922398379,0.5884502923976608,2.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | with_mstl,987,4104,4,1.1440877800586127,1.0281864013275424,528.4978908280411,0.6399244639376218,3.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | without_mstl,987,3078,3,1.1492795409840462,1.1161998197777594,599.4898707685035,0.5778508771929824,4.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,statistical | without_mstl,987,3078,3,1.151282619092159,1.0337511700612616,540.9373572069779,0.5506416504223521,5.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,neuralforecast | with_mstl,987,3078,3,1.1723737539493297,1.0153316049641117,578.8172786475958,0.6403508771929824,6.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,statistical | with_mstl,987,3078,3,1.2324451381103918,1.076469445234834,562.849824100388,0.6571231319038336,7.0
family_decomposition_all_models,seasonality,all,combined_quarterly,all,mlforecast | without_mstl,987,4104,4,1.309368161160218,1.2241763637953422,581.5702684547786,0.5658808479532164,8.0
