model_family,model_name,decomp_label,n,mean_delta,median_delta,pct_helped,p_raw,p_adj,sig,verdict
mlforecast,AutoLinearRegression,STL-AC,53694,0.0678753090077148,0.1676803276423222,0.7040823928185644,0.0,0.0,True,Always Helps
mlforecast,AutoLinearRegression,STL-SN,53694,0.0732820745275311,0.10918349485536805,0.6847506239058367,0.0,0.0,True,Always Helps
mlforecast,AutoRandomForest,STL-AC,53694,-0.45243829407241615,-0.16666088671587048,0.3449174954371066,0.0,0.0,True,Always Hurts
mlforecast,AutoRandomForest,STL-SN,53694,-0.45613965790496697,-0.16510246089213226,0.30718516035311205,0.0,0.0,True,Always Hurts
mlforecast,AutoRidge,STL-AC,53694,0.06972055518674844,0.172160850421209,0.7049949715051961,0.0,0.0,True,Always Helps
mlforecast,AutoRidge,STL-SN,53694,0.07435314514033953,0.11391827511739583,0.6821432562297464,0.0,0.0,True,Always Helps
mlforecast,AutoXGBoost,STL-AC,53694,-0.44961972956802326,-0.1632276625815286,0.3450851119305695,0.0,0.0,True,Always Hurts
mlforecast,AutoXGBoost,STL-SN,53694,-0.468725001761852,-0.1689511543122314,0.3052855067605319,0.0,0.0,True,Always Hurts
neuralforecast,AutoLSTM,STL-AC,53694,-0.4395371034038618,-0.15582135786062956,0.348381569635341,0.0,0.0,True,Always Hurts
neuralforecast,AutoLSTM,STL-SN,53694,-0.4630735346476546,-0.16875663123426288,0.30284575557790444,0.0,0.0,True,Always Hurts
neuralforecast,AutoNHITS,STL-AC,53694,0.022307317657923844,0.12387189631217982,0.6771706335903452,0.0,0.0,True,Always Helps
neuralforecast,AutoNHITS,STL-SN,53694,0.06908167015065282,0.0820296673225856,0.6781018363318062,0.0,0.0,True,Always Helps
neuralforecast,AutoNLinear,STL-AC,53694,0.06137938610228768,0.16865707967682686,0.7010652959362312,0.0,0.0,True,Always Helps
neuralforecast,AutoNLinear,STL-SN,53694,0.06744602036012311,0.108491286864768,0.6820687600104295,0.0,0.0,True,Always Helps
statistical,AutoARIMA,STL-AC,53694,0.003150267604603096,-0.06491659124479787,0.42168584944314075,4.890501552675016e-138,4.890501552675016e-138,True,Always Helps
statistical,AutoARIMA,STL-SN,53694,0.010449266417768773,-0.0969413300442366,0.38946623458859464,1.2338151787928642e-262,3.701445536378593e-262,True,Always Helps
statistical,AutoETS,STL-AC,53694,-0.09061517493617924,-0.12045831129560736,0.35013223078928746,0.0,0.0,True,Always Hurts
statistical,AutoETS,STL-SN,53694,-0.04641307051114517,-0.13322122203218345,0.3354564755838641,0.0,0.0,True,Always Hurts
statistical,AutoSARIMA,STL-AC,53694,0.003370149462848319,-0.0662089862619697,0.42099675941445974,1.1378215127149087e-142,2.2756430254298175e-142,True,Always Helps
statistical,AutoSARIMA,STL-SN,53694,0.009844319979171717,-0.09897356329190243,0.38765970127016053,2.488161343639234e-276,9.952645374556935e-276,True,Always Helps
transformers,AutoPatchTST,STL-AC,53694,0.0631744440306451,0.17147576628953004,0.7002644615785749,0.0,0.0,True,Always Helps
transformers,AutoPatchTST,STL-SN,53694,0.06541841520869449,0.10748336446271012,0.6828137222035982,0.0,0.0,True,Always Helps
transformers,AutoTFT,STL-AC,53694,0.01387799213431161,0.11620025905863024,0.6697396357134875,0.0,0.0,True,Always Helps
transformers,AutoTFT,STL-SN,53694,0.059873582454137306,0.07766063939750611,0.6764815435616642,0.0,0.0,True,Always Helps
