subset,winner,n_wins,total_pairs
mcm_family_decomp_monthly,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0310
2878 / 0 / 1622
 $\leq$ 1e-04-0.0320
2855 / 0 / 1645
 $\leq$ 1e-04-0.0448
2777 / 0 / 1723
 $\leq$ 1e-04-0.0468
2816 / 0 / 1684
 $\leq$ 1e-04-0.0825
3111 / 0 / 1389
 $\leq$ 1e-04-0.0870
3130 / 0 / 1370
 $\leq$ 1e-04-0.0891
3142 / 0 / 1358
 $\leq$ 1e-04-0.1771
3234 / 0 / 1266
 $\leq$ 1e-04-0.1863
3195 / 0 / 1305
 $\leq$ 1e-04-0.2472
3222 / 0 / 1278
 $\leq$ 1e-04-0.2554
3329 / 0 / 1171
 $\leq$ 1e-04",11
mcm_family_decomp_quarterly,Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0060
2958 / 1 / 1490
 $\leq$ 1e-04-0.0149
1712 / 0 / 2737
 $\leq$ 1e-04-0.0260
1971 / 0 / 2478
 $\leq$ 1e-04-0.0386
2076 / 0 / 2373
 $\leq$ 1e-04-0.0800
3136 / 0 / 1313
 $\leq$ 1e-04-0.0820
3135 / 0 / 1314
 $\leq$ 1e-04-0.0858
3135 / 0 / 1314
 $\leq$ 1e-04-0.2136
3336 / 0 / 1113
 $\leq$ 1e-04-0.2240
3112 / 0 / 1337
 $\leq$ 1e-04-0.3047
3307 / 0 / 1142
 $\leq$ 1e-04-0.3065
3156 / 0 / 1293
 $\leq$ 1e-04",11
mcm_family_only_global,Stat,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0279
6117 / 0 / 2832
 $\leq$ 1e-04-0.1426
6465 / 0 / 2484
 $\leq$ 1e-04-0.1944
6471 / 0 / 2478
 $\leq$ 1e-04",3
mcm_Non-normality_high,Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0021
1693 / 1 / 1306
 $\leq$ 1e-04-0.0027
1133 / 0 / 1867
 $\leq$ 1e-04-0.0350
1255 / 0 / 1745
 $\leq$ 1e-04-0.0402
1386 / 0 / 1614
0.0160-0.0526
2034 / 0 / 966
 $\leq$ 1e-04-0.0556
2042 / 0 / 958
 $\leq$ 1e-04-0.0596
2048 / 0 / 952
 $\leq$ 1e-04-0.2516
2205 / 0 / 795
 $\leq$ 1e-04-0.2605
2059 / 0 / 941
 $\leq$ 1e-04-0.3664
2059 / 0 / 941
 $\leq$ 1e-04-0.3716
2199 / 0 / 801
 $\leq$ 1e-04",11
mcm_Non-normality_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0027
1729 / 0 / 1220
 $\leq$ 1e-04-0.0066
1830 / 0 / 1119
 $\leq$ 1e-04-0.0085
1765 / 0 / 1184
 $\leq$ 1e-04-0.0104
1850 / 0 / 1099
 $\leq$ 1e-04-0.0786
2025 / 0 / 924
 $\leq$ 1e-04-0.0800
2025 / 0 / 924
 $\leq$ 1e-04-0.0833
2033 / 0 / 916
 $\leq$ 1e-04-0.1177
2022 / 0 / 927
 $\leq$ 1e-04-0.1290
2109 / 0 / 840
 $\leq$ 1e-04-0.1685
2059 / 0 / 890
 $\leq$ 1e-04-0.1880
2153 / 0 / 796
 $\leq$ 1e-04",11
mcm_Non-normality_medium,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0213
1889 / 0 / 1111
 $\leq$ 1e-04-0.0256
1923 / 0 / 1077
 $\leq$ 1e-04-0.0456
1825 / 0 / 1175
 $\leq$ 1e-04-0.0554
1848 / 0 / 1152
 $\leq$ 1e-04-0.0932
2071 / 0 / 929
 $\leq$ 1e-04-0.0953
2072 / 0 / 928
 $\leq$ 1e-04-0.0986
2077 / 0 / 923
 $\leq$ 1e-04-0.1814
2151 / 0 / 849
 $\leq$ 1e-04-0.1904
2131 / 0 / 869
 $\leq$ 1e-04-0.2489
2139 / 0 / 861
 $\leq$ 1e-04-0.2553
2198 / 0 / 802
 $\leq$ 1e-04",11
mcm_Nonlinearity_high,Transformer|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0009
481 / 3 / 659
0.0393-0.0042
758 / 3 / 382
 $\leq$ 1e-04-0.0198
532 / 0 / 611
0.0646-0.0243
525 / 0 / 618
0.0420-0.0295
434 / 0 / 709
 $\leq$ 1e-04-0.0434
589 / 0 / 554
0.0113-0.0610
585 / 0 / 558
0.0006-0.0651
470 / 0 / 673
0.0389-0.0747
506 / 0 / 637
0.4683-0.0775
490 / 0 / 653
0.0164-0.0829
488 / 0 / 655
0.1214",11
mcm_Nonlinearity_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0130
4907 / 0 / 2899
 $\leq$ 1e-04-0.0135
4940 / 0 / 2866
 $\leq$ 1e-04-0.0238
4734 / 0 / 3072
 $\leq$ 1e-04-0.0322
4788 / 0 / 3018
 $\leq$ 1e-04-0.0818
5367 / 3 / 2436
 $\leq$ 1e-04-0.0923
5403 / 3 / 2400
 $\leq$ 1e-04-0.1001
5436 / 4 / 2366
 $\leq$ 1e-04-0.2211
5733 / 0 / 2073
 $\leq$ 1e-04-0.2234
5602 / 0 / 2204
 $\leq$ 1e-04-0.3054
5695 / 0 / 2111
 $\leq$ 1e-04-0.3086
5858 / 0 / 1948
 $\leq$ 1e-04",11
mcm_Spectral_entropy_high,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0145
1821 / 0 / 1143
 $\leq$ 1e-04-0.0191
1850 / 0 / 1114
 $\leq$ 1e-04-0.0298
1750 / 0 / 1214
 $\leq$ 1e-04-0.0374
1760 / 0 / 1204
 $\leq$ 1e-04-0.0400
1969 / 0 / 995
 $\leq$ 1e-04-0.0426
1967 / 0 / 997
 $\leq$ 1e-04-0.0489
1969 / 0 / 995
 $\leq$ 1e-04-0.0619
1900 / 0 / 1064
 $\leq$ 1e-04-0.0629
1981 / 0 / 983
 $\leq$ 1e-04-0.0710
1884 / 0 / 1080
 $\leq$ 1e-04-0.0868
2003 / 0 / 961
 $\leq$ 1e-04",11
mcm_Spectral_entropy_low,Stat|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0032
1661 / 0 / 1334
 $\leq$ 1e-04-0.0098
1320 / 0 / 1675
 $\leq$ 1e-04-0.0100
1186 / 0 / 1809
 $\leq$ 1e-04-0.0151
1329 / 0 / 1666
 $\leq$ 1e-04-0.0719
2056 / 0 / 939
 $\leq$ 1e-04-0.0731
2036 / 0 / 959
 $\leq$ 1e-04-0.0784
2071 / 0 / 924
 $\leq$ 1e-04-0.2871
2213 / 0 / 782
 $\leq$ 1e-04-0.3001
2119 / 0 / 876
 $\leq$ 1e-04-0.4474
2284 / 0 / 711
 $\leq$ 1e-04-0.4484
2172 / 0 / 823
 $\leq$ 1e-04",11
mcm_Spectral_entropy_medium,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0153
1945 / 0 / 1045
 $\leq$ 1e-04-0.0281
1993 / 0 / 997
 $\leq$ 1e-04-0.0559
1912 / 0 / 1078
 $\leq$ 1e-04-0.0596
1929 / 0 / 1061
 $\leq$ 1e-04-0.1269
2123 / 3 / 864
 $\leq$ 1e-04-0.1347
2140 / 2 / 848
 $\leq$ 1e-04-0.1369
2145 / 2 / 843
 $\leq$ 1e-04-0.2054
2245 / 0 / 745
 $\leq$ 1e-04-0.2205
2237 / 0 / 753
 $\leq$ 1e-04-0.2931
2305 / 0 / 685
 $\leq$ 1e-04-0.3084
2288 / 0 / 702
 $\leq$ 1e-04",11
mcm_Structural_break_high,Transformer|STL–SN,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0033
1210 / 1 / 1789
 $\leq$ 1e-04-0.0149
1330 / 0 / 1670
 $\leq$ 1e-04-0.0222
1404 / 0 / 1596
 $\leq$ 1e-04-0.0292
1205 / 0 / 1795
 $\leq$ 1e-04-0.0543
2069 / 0 / 931
 $\leq$ 1e-04-0.0570
2070 / 0 / 930
 $\leq$ 1e-04-0.0588
2070 / 0 / 930
 $\leq$ 1e-04-0.2179
2079 / 0 / 921
 $\leq$ 1e-04-0.2217
2258 / 0 / 742
 $\leq$ 1e-04-0.3222
2290 / 0 / 710
 $\leq$ 1e-04-0.3296
2157 / 0 / 843
 $\leq$ 1e-04",11
mcm_Structural_break_low,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0159
1847 / 0 / 1102
 $\leq$ 1e-04-0.0168
1863 / 0 / 1086
 $\leq$ 1e-04-0.0550
1782 / 0 / 1167
 $\leq$ 1e-04-0.0588
1989 / 2 / 958
 $\leq$ 1e-04-0.0595
1991 / 2 / 956
 $\leq$ 1e-04-0.0625
1794 / 0 / 1155
 $\leq$ 1e-04-0.0626
1996 / 3 / 950
 $\leq$ 1e-04-0.1230
2034 / 0 / 915
 $\leq$ 1e-04-0.1352
1950 / 0 / 999
 $\leq$ 1e-04-0.1635
2056 / 0 / 893
 $\leq$ 1e-04-0.1772
1967 / 0 / 982
 $\leq$ 1e-04",11
mcm_Structural_break_medium,Stat|Direct,"Mean-Difference
r>c / r=c / r<c
Wilcoxon p-value-0.0257
1905 / 0 / 1095
 $\leq$ 1e-04-0.0306
1935 / 0 / 1065
 $\leq$ 1e-04-0.0463
1898 / 0 / 1102
 $\leq$ 1e-04-0.0619
1935 / 0 / 1065
 $\leq$ 1e-04-0.1378
2115 / 1 / 884
 $\leq$ 1e-04-0.1415
2124 / 0 / 876
 $\leq$ 1e-04-0.1433
2115 / 0 / 885
 $\leq$ 1e-04-0.2580
2237 / 0 / 763
 $\leq$ 1e-04-0.2593
2257 / 0 / 743
 $\leq$ 1e-04-0.3513
2313 / 0 / 687
 $\leq$ 1e-04-0.3668
2284 / 0 / 716
 $\leq$ 1e-04",11
